window,start_year,end_year,role,area_code,area_name,nonmgr_occ_code,mgr_occ_code,nonmgr_emp_t,nonmgr_emp_t1,mgr_emp_t,mgr_emp_t1,nonmgr_wage_t,nonmgr_wage_t1,mgr_wage_t,mgr_wage_t1,dln_nonmgr_mgr_emp_ratio,dln_nonmgr_mgr_wage_ratio,weight
2015-2016,2015,2016,Pre-gAI,12420,"Austin-Round Rock, TX",15-1132+15-1133,11-3021,19220,20250,3090,3030,97678.0,101751.0,154320.0,154140.0,0.0718118613987781,0.0420193859595062,22310.0
2015-2016,2015,2016,Pre-gAI,12540,"Bakersfield, CA",15-1132+15-1133,11-3021,630,770,270,260,103389.0,112203.0,115500.0,121450.0,0.2384110234449981,0.031579031776189,900.0
2015-2016,2015,2016,Pre-gAI,12580,"Baltimore-Columbia-Towson, MD",15-1132+15-1133,11-3021,14220,14940,4240,4380,117119.0,109644.0,141840.0,142690.0,0.016907300185088,-0.0719265412972318,18460.0
2015-2016,2015,2016,Pre-gAI,12940,"Baton Rouge, LA",15-1132+15-1133,11-3021,560,510,510,480,68260.0,65464.0,98750.0,104340.0,-0.0329014361943887,-0.0968869640664958,1070.0
2015-2016,2015,2016,Pre-gAI,13740,"Billings, MT",15-1132+15-1133,11-3021,250,150,90,70,96245.0,88888.0,112750.0,113720.0,-0.2595111954850846,-0.0880861818849025,340.0
2015-2016,2015,2016,Pre-gAI,13780,"Binghamton, NY",15-1132+15-1133,11-3021,1110,1030,170,170,98663.0,96221.0,133210.0,132690.0,-0.0748012130826984,-0.0211511239212101,1280.0
2015-2016,2015,2016,Pre-gAI,13820,"Birmingham-Hoover, AL",15-1132+15-1133,11-3021,2450,2630,1220,1250,87165.0,86696.0,119130.0,116220.0,0.046603129063993,0.0193352595898256,3670.0
2015-2016,2015,2016,Pre-gAI,13900,"Bismarck, ND",15-1132+15-1133,11-3021,440,430,110,120,85665.0,89023.0,97880.0,105710.0,-0.1100008952143285,-0.0385068346791013,550.0
2015-2016,2015,2016,Pre-gAI,13980,"Blacksburg-Christiansburg-Radford, VA",15-1132+15-1133,11-3021,460,450,100,100,73869.0,81067.0,126450.0,137560.0,-0.0219789067187751,0.0087695066556946,560.0
2015-2016,2015,2016,Pre-gAI,14500,"Boulder, CO",15-1132+15-1133,11-3021,5510,6140,800,780,110407.0,109425.0,151500.0,150710.0,0.1335779269785178,-0.0037059900352359,6310.0
2015-2016,2015,2016,Pre-gAI,14740,"Bremerton-Silverdale, WA",15-1132+15-1133,11-3021,250,300,90,90,105630.0,103810.0,114290.0,112880.0,0.1823215567939548,-0.0049663462649687,340.0
2015-2016,2015,2016,Pre-gAI,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",15-1132+15-1133,11-3021,2370,2590,1040,1000,89514.0,84374.0,118780.0,128870.0,0.1279886337176879,-0.1406668420707435,3410.0
2015-2016,2015,2016,Pre-gAI,15680,"California-Lexington Park, MD",15-1132+15-1133,11-3021,740,810,240,260,107351.0,103413.0,136690.0,136560.0,0.0103413537947325,-0.0364216504166816,980.0
2015-2016,2015,2016,Pre-gAI,15804,"Camden, NJ Metropolitan Division",15-1132+15-1133,11-3021,3830,3580,840,870,91404.0,95956.0,131090.0,146100.0,-0.1025933225912158,-0.0598066966579115,4670.0
2015-2016,2015,2016,Pre-gAI,15980,"Cape Coral-Fort Myers, FL",15-1132+15-1133,11-3021,580,700,150,160,,76644.0,127690.0,122650.0,0.1235137103653684,,730.0
2015-2016,2015,2016,Pre-gAI,16580,"Champaign-Urbana, IL",15-1132+15-1133,11-3021,600,580,190,180,90842.0,92571.0,113120.0,113160.0,0.0201656695945944,0.0185006396438012,790.0
2015-2016,2015,2016,Pre-gAI,16620,"Charleston, WV",15-1132+15-1133,11-3021,150,170,150,120,74405.0,76163.0,78000.0,95630.0,0.3483066942682158,-0.1804251150902563,300.0
2015-2016,2015,2016,Pre-gAI,16700,"Charleston-North Charleston, SC",15-1132+15-1133,11-3021,1210,1500,590,610,88869.0,82913.0,127580.0,126850.0,0.1815083282319229,-0.0636331772401408,1800.0
2015-2016,2015,2016,Pre-gAI,16740,"Charlotte-Concord-Gastonia, NC-SC",15-1132+15-1133,11-3021,11780,11000,4510,4800,99569.0,103802.0,139870.0,143110.0,-0.1308266698243284,0.0187342216734688,16290.0
2015-2016,2015,2016,Pre-gAI,16820,"Charlottesville, VA",15-1132+15-1133,11-3021,1190,1280,280,280,87202.0,95801.0,140950.0,133490.0,0.0729067708080877,0.1484245057964473,1470.0
2015-2016,2015,2016,Pre-gAI,16860,"Chattanooga, TN-GA",15-1132+15-1133,11-3021,700,910,350,370,80711.0,84270.0,104740.0,111220.0,0.2067944133126804,-0.0168780764217485,1050.0
2015-2016,2015,2016,Pre-gAI,16974,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",15-1132+15-1133,11-3021,28380,30500,10300,11410,95213.0,100794.0,132570.0,140050.0,-0.0303042567569249,0.0020736490643383,38680.0
2015-2016,2015,2016,Pre-gAI,17140,"Cincinnati, OH-KY-IN",15-1132+15-1133,11-3021,7870,8590,2900,3190,83803.0,88710.0,126910.0,128020.0,-0.0077695062374728,0.0481954882707885,10770.0
2015-2016,2015,2016,Pre-gAI,17460,"Cleveland-Elyria, OH",15-1132+15-1133,11-3021,7790,8430,2720,2640,83284.0,84158.0,126700.0,129590.0,0.1088088752807885,-0.0121140025647073,10510.0
2015-2016,2015,2016,Pre-gAI,17780,"College Station-Bryan, TX",15-1132+15-1133,11-3021,420,320,60,60,76810.0,76971.0,125670.0,130730.0,-0.2719337154836418,-0.037380816420642,480.0
2015-2016,2015,2016,Pre-gAI,17820,"Colorado Springs, CO",15-1132+15-1133,11-3021,5260,6050,630,770,107390.0,109449.0,149790.0,159070.0,-0.0607434501690196,-0.0411184242646847,5890.0
2015-2016,2015,2016,Pre-gAI,17900,"Columbia, SC",15-1132+15-1133,11-3021,1600,1800,1140,1120,75669.0,78774.0,109890.0,112420.0,0.1354826127557845,0.0174524357226844,2740.0
2015-2016,2015,2016,Pre-gAI,18140,"Columbus, OH",15-1132+15-1133,11-3021,11350,13700,3510,3720,92288.0,105476.0,133040.0,148050.0,0.1300704580993868,0.0266690969997506,14860.0
2015-2016,2015,2016,Pre-gAI,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1132+15-1133,11-3021,730,800,150,100,96168.0,102594.0,104660.0,125980.0,0.497032301633655,-0.1207233737571634,880.0
2015-2016,2015,2016,Pre-gAI,19124,"Dallas-Plano-Irving, TX Metropolitan Division",15-1132+15-1133,11-3021,29330,31300,6510,7050,101409.0,106521.0,149010.0,156670.0,-0.0146809460469516,-0.0009479604228152,35840.0
2015-2016,2015,2016,Pre-gAI,19140,"Dalton, GA",15-1132+15-1133,11-3021,240,320,100,70,96463.0,88813.0,125770.0,120950.0,0.6443570163905132,-0.0435488744490558,340.0
2015-2016,2015,2016,Pre-gAI,19340,"Davenport-Moline-Rock Island, IA-IL",15-1132+15-1133,11-3021,490,470,360,300,83026.0,82294.0,116510.0,116880.0,0.1406488603933866,-0.0120262719500823,850.0
2015-2016,2015,2016,Pre-gAI,19380,"Dayton, OH",15-1132+15-1133,11-3021,2680,3320,1140,1120,84938.0,93263.0,127350.0,132170.0,0.2318475655050327,0.0563521090752266,3820.0
2015-2016,2015,2016,Pre-gAI,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1132+15-1133,11-3021,330,650,110,150,74033.0,69492.0,115110.0,121920.0,0.3677247801253173,-0.1207762007254861,440.0
2015-2016,2015,2016,Pre-gAI,19740,"Denver-Aurora-Lakewood, CO",15-1132+15-1133,11-3021,22660,24140,4470,4290,105617.0,112815.0,163230.0,164730.0,0.1043706357550771,0.0567824449895529,27130.0
2015-2016,2015,2016,Pre-gAI,19780,"Des Moines-West Des Moines, IA",15-1132+15-1133,11-3021,3590,3600,890,1130,88300.0,90310.0,123640.0,128150.0,-0.2359698060183239,-0.0133192468933716,4480.0
2015-2016,2015,2016,Pre-gAI,19804,"Detroit-Dearborn-Livonia, MI Metropolitan Division",15-1132+15-1133,11-3021,6610,7280,1780,1670,89693.0,90662.0,131670.0,136390.0,0.1603369462203297,-0.0244740589710451,8390.0
2015-2016,2015,2016,Pre-gAI,20500,"Durham-Chapel Hill, NC",15-1132+15-1133,11-3021,6000,5600,1460,1340,110355.0,102391.0,138780.0,144020.0,0.0167739502704733,-0.1119658572838552,7460.0
2015-2016,2015,2016,Pre-gAI,20740,"Eau Claire, WI",15-1132+15-1133,11-3021,290,220,170,140,74082.0,71714.0,101730.0,95160.0,-0.0820973621872007,0.0342759581219729,460.0
2015-2016,2015,2016,Pre-gAI,20994,"Elgin, IL Metropolitan Division",15-1132+15-1133,11-3021,540,620,450,560,102663.0,110608.0,103010.0,92800.0,-0.0805388624840122,0.1789200709243761,990.0
2015-2016,2015,2016,Pre-gAI,21060,"Elizabethtown-Fort Knox, KY",15-1132+15-1133,11-3021,250,240,60,60,83881.0,86190.0,98280.0,98750.0,-0.0408219945202551,0.0223841777753621,310.0
2015-2016,2015,2016,Pre-gAI,22020,"Fargo, ND-MN",15-1132+15-1133,11-3021,1010,1230,250,270,67323.0,70387.0,114400.0,115810.0,0.1201027973950296,0.0322568171613606,1260.0
2015-2016,2015,2016,Pre-gAI,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-1132+15-1133,11-3021,1190,1490,500,570,83461.0,87793.0,138240.0,141510.0,0.0937945504275258,0.0272232330234092,1690.0
2015-2016,2015,2016,Pre-gAI,22420,"Flint, MI",15-1132+15-1133,11-3021,240,230,150,150,76981.0,78853.0,97770.0,99060.0,-0.0425596144187958,0.0109187758089707,390.0
2015-2016,2015,2016,Pre-gAI,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1132+15-1133,11-3021,4300,5550,1210,1390,83452.0,89463.0,141430.0,140270.0,0.1164995175248758,0.0777892740162095,5510.0
2015-2016,2015,2016,Pre-gAI,23060,"Fort Wayne, IN",15-1132+15-1133,11-3021,870,1170,340,290,80357.0,93340.0,111770.0,120950.0,0.4553305107728597,0.0708354846192495,1210.0
2015-2016,2015,2016,Pre-gAI,23104,"Fort Worth-Arlington, TX Metropolitan Division",15-1132+15-1133,11-3021,7280,6810,1330,1170,107714.0,109961.0,152970.0,157620.0,0.061436451376824,-0.009299058147789,8610.0
2015-2016,2015,2016,Pre-gAI,23420,"Fresno, CA",15-1132+15-1133,11-3021,580,460,280,270,108005.0,111936.0,124120.0,126170.0,-0.1954339698864496,0.0193683926877908,860.0
2015-2016,2015,2016,Pre-gAI,23540,"Gainesville, FL",15-1132+15-1133,11-3021,750,700,100,120,70674.0,73792.0,124010.0,122520.0,-0.2513144282809061,0.0552604959919977,850.0
2015-2016,2015,2016,Pre-gAI,23580,"Gainesville, GA",15-1132+15-1133,11-3021,150,160,50,60,80629.0,89754.0,114460.0,125630.0,-0.1177830356563835,0.0140985462966259,200.0
2015-2016,2015,2016,Pre-gAI,23844,"Gary, IN Metropolitan Division",15-1132+15-1133,11-3021,330,310,190,180,69453.0,65153.0,103350.0,104720.0,-0.0084531357110582,-0.0770807501923539,520.0
2015-2016,2015,2016,Pre-gAI,24340,"Grand Rapids-Wyoming, MI",15-1132+15-1133,11-3021,2400,2350,760,820,79679.0,80631.0,99660.0,103540.0,-0.0970393161757544,-0.0263164906656212,3160.0
2015-2016,2015,2016,Pre-gAI,24580,"Green Bay, WI",15-1132+15-1133,11-3021,980,790,370,370,82152.0,78356.0,98460.0,116410.0,-0.2155196262035504,-0.214776712504935,1350.0
2015-2016,2015,2016,Pre-gAI,24660,"Greensboro-High Point, NC",15-1132+15-1133,11-3021,1560,1450,680,670,93758.0,99433.0,118880.0,126930.0,-0.0583071790438219,-0.0067541164567038,2240.0
2015-2016,2015,2016,Pre-gAI,24860,"Greenville-Anderson-Mauldin, SC",15-1132+15-1133,11-3021,1360,1390,490,440,83505.0,87421.0,110300.0,115660.0,0.1294497115870052,-0.0016219083744827,1850.0
2015-2016,2015,2016,Pre-gAI,25060,"Gulfport-Biloxi-Pascagoula, MS",15-1132+15-1133,11-3021,360,280,140,160,83382.0,84861.0,100750.0,97620.0,-0.3848458209054288,0.0491419754550507,500.0
2015-2016,2015,2016,Pre-gAI,25180,"Hagerstown-Martinsburg, MD-WV",15-1132+15-1133,11-3021,400,390,190,240,95628.0,95850.0,123400.0,127780.0,-0.2589326591657949,-0.0325601184148675,590.0
2015-2016,2015,2016,Pre-gAI,25420,"Harrisburg-Carlisle, PA",15-1132+15-1133,11-3021,2380,2710,950,1030,79123.0,81615.0,118180.0,121360.0,0.0489960505791313,0.0044570157996601,3330.0
2015-2016,2015,2016,Pre-gAI,26420,"Houston-The Woodlands-Sugar Land, TX",15-1132+15-1133,11-3021,20860,20170,5930,5790,103946.0,108270.0,151490.0,157400.0,-0.0097451761817758,0.0024858539845702,26790.0
2015-2016,2015,2016,Pre-gAI,26620,"Huntsville, AL",15-1132+15-1133,11-3021,5120,4970,900,810,105346.0,105391.0,142660.0,141320.0,0.0756259167149471,0.0098644269725273,6020.0
2015-2016,2015,2016,Pre-gAI,26900,"Indianapolis-Carmel-Anderson, IN",15-1132+15-1133,11-3021,6990,7660,2550,2530,81414.0,81180.0,111210.0,114800.0,0.0994054839376868,-0.0346495150358345,9540.0
2015-2016,2015,2016,Pre-gAI,27060,"Ithaca, NY",15-1132+15-1133,11-3021,260,380,120,120,90842.0,99242.0,132320.0,121880.0,0.3794896217049038,0.1706258552147377,380.0
2015-2016,2015,2016,Pre-gAI,27140,"Jackson, MS",15-1132+15-1133,11-3021,470,570,410,510,87069.0,94270.0,86470.0,90790.0,-0.0253498998955263,0.0307104832342203,880.0
2015-2016,2015,2016,Pre-gAI,27260,"Jacksonville, FL",15-1132+15-1133,11-3021,4580,4520,910,1030,97322.0,95907.0,130710.0,123690.0,-0.1370564859947395,0.040556596872291,5490.0
2015-2016,2015,2016,Pre-gAI,27500,"Janesville-Beloit, WI",15-1132+15-1133,11-3021,250,240,70,90,78987.0,80072.0,100850.0,108440.0,-0.2921364228011613,-0.0589198122775401,320.0
2015-2016,2015,2016,Pre-gAI,28020,"Kalamazoo-Portage, MI",15-1132+15-1133,11-3021,380,400,190,190,73736.0,77876.0,100540.0,100020.0,0.0512932943875504,0.0598121636989723,570.0
2015-2016,2015,2016,Pre-gAI,28140,"Kansas City, MO-KS",15-1132+15-1133,11-3021,10480,11560,3500,3730,94590.0,93053.0,124480.0,128370.0,0.0344369191909792,-0.0471541975925042,13980.0
2015-2016,2015,2016,Pre-gAI,28420,"Kennewick-Richland, WA",15-1132+15-1133,11-3021,460,370,160,130,95949.0,96418.0,130050.0,142250.0,-0.010084119066626,-0.0847909752385174,620.0
2015-2016,2015,2016,Pre-gAI,28660,"Killeen-Temple, TX",15-1132+15-1133,11-3021,230,240,100,110,103920.0,97383.0,135500.0,144050.0,-0.0527505653855289,-0.1261585361458433,330.0
2015-2016,2015,2016,Pre-gAI,28940,"Knoxville, TN",15-1132+15-1133,11-3021,1420,1610,580,550,83549.0,84591.0,102400.0,100350.0,0.1786871326971508,0.0326172292485785,2000.0
2015-2016,2015,2016,Pre-gAI,29100,"La Crosse-Onalaska, WI-MN",15-1132+15-1133,11-3021,170,200,80,70,74876.0,74022.0,99010.0,101890.0,0.2960503221222976,-0.0401440104734707,250.0
2015-2016,2015,2016,Pre-gAI,29180,"Lafayette, LA",15-1132+15-1133,11-3021,230,320,120,150,59926.0,62181.0,81600.0,82780.0,0.1070981355563671,0.022581794785065,350.0
2015-2016,2015,2016,Pre-gAI,29200,"Lafayette-West Lafayette, IN",15-1132+15-1133,11-3021,280,260,170,190,82348.0,82972.0,102870.0,103940.0,-0.1853336072639462,-0.00279872270052,450.0
2015-2016,2015,2016,Pre-gAI,29460,"Lakeland-Winter Haven, FL",15-1132+15-1133,11-3021,300,290,190,240,80253.0,97970.0,124350.0,120360.0,-0.2675164028571866,0.2320900833551583,490.0
2015-2016,2015,2016,Pre-gAI,29540,"Lancaster, PA",15-1132+15-1133,11-3021,450,540,260,310,82271.0,85741.0,105090.0,109760.0,0.0064308903302903,-0.0021665900365673,710.0
2015-2016,2015,2016,Pre-gAI,29620,"Lansing-East Lansing, MI",15-1132+15-1133,11-3021,1800,2430,1250,570,76664.0,78445.0,99470.0,105170.0,1.085367061918089,-0.0327564921241566,3050.0
2015-2016,2015,2016,Pre-gAI,29740,"Las Cruces, NM",15-1132+15-1133,11-3021,520,450,100,100,100362.0,97004.0,93280.0,92340.0,-0.1445812288111077,-0.0239031292680288,620.0
2015-2016,2015,2016,Pre-gAI,29820,"Las Vegas-Henderson-Paradise, NV",15-1132+15-1133,11-3021,1920,2340,1000,960,91234.0,103104.0,121960.0,126230.0,0.238647737850175,0.0878980352872327,2920.0
2015-2016,2015,2016,Pre-gAI,30460,"Lexington-Fayette, KY",15-1132+15-1133,11-3021,2180,1420,380,370,74556.0,79319.0,105490.0,112030.0,-0.4019997581056669,0.0017766446647853,2560.0
2015-2016,2015,2016,Pre-gAI,30700,"Lincoln, NE",15-1132+15-1133,11-3021,1630,1650,380,370,71312.0,72495.0,105960.0,112230.0,0.0388635201759796,-0.0410356948633384,2010.0
2015-2016,2015,2016,Pre-gAI,30780,"Little Rock-North Little Rock-Conway, AR",15-1132+15-1133,11-3021,1320,1290,1160,1130,74257.0,76866.0,103230.0,105750.0,0.0032128541693253,0.0104132873200895,2480.0
2015-2016,2015,2016,Pre-gAI,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",15-1132+15-1133,11-3021,26010,29760,8800,8910,112695.0,111880.0,152820.0,156740.0,0.1222616105057738,-0.0325858095607725,34810.0
2015-2016,2015,2016,Pre-gAI,31140,"Louisville/Jefferson County, KY-IN",15-1132+15-1133,11-3021,3730,3660,1100,1170,76963.0,84046.0,114670.0,123330.0,-0.0806386552477892,0.0152342295879753,4830.0
2015-2016,2015,2016,Pre-gAI,31180,"Lubbock, TX",15-1132+15-1133,11-3021,260,320,60,50,65010.0,65061.0,132600.0,141880.0,0.3899609215721992,-0.0668603650156567,320.0
2015-2016,2015,2016,Pre-gAI,31340,"Lynchburg, VA",15-1132+15-1133,11-3021,620,610,130,140,94583.0,94975.0,122430.0,125710.0,-0.0903684930255022,-0.0223022856594442,750.0
2015-2016,2015,2016,Pre-gAI,31420,"Macon, GA",15-1132+15-1133,11-3021,200,160,80,100,65376.0,81926.0,104180.0,108140.0,-0.4462871026284195,0.1883546705245947,280.0
2015-2016,2015,2016,Pre-gAI,31540,"Madison, WI",15-1132+15-1133,11-3021,3820,8610,1270,1600,83988.0,82135.0,110950.0,117370.0,0.5816871670459199,-0.0785613852356692,5090.0
2015-2016,2015,2016,Pre-gAI,32580,"McAllen-Edinburg-Mission, TX",15-1132+15-1133,11-3021,80,80,50,50,70030.0,66710.0,130020.0,128120.0,0.0,-0.033847894910637,130.0
2015-2016,2015,2016,Pre-gAI,32820,"Memphis, TN-MS-AR",15-1132+15-1133,11-3021,1480,1310,900,910,84069.0,80925.0,113890.0,120740.0,-0.1330647867495484,-0.0965214934966432,2380.0
2015-2016,2015,2016,Pre-gAI,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1132+15-1133,11-3021,4330,4720,1400,1370,77139.0,82388.0,140940.0,134450.0,0.1079027543642449,0.1129726911732688,5730.0
2015-2016,2015,2016,Pre-gAI,33340,"Milwaukee-Waukesha-West Allis, WI",15-1132+15-1133,11-3021,6090,6340,2530,2590,86624.0,86712.0,118220.0,124270.0,0.0167921137553114,-0.0488939533401216,8620.0
2015-2016,2015,2016,Pre-gAI,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1132+15-1133,11-3021,19240,20060,8520,8530,99117.0,99707.0,136560.0,142000.0,0.0405633166338657,-0.0331280644990645,27760.0
2015-2016,2015,2016,Pre-gAI,33540,"Missoula, MT",15-1132+15-1133,11-3021,220,250,70,70,60280.0,64368.0,107980.0,111240.0,0.127833371509885,0.0358722368735145,290.0
2015-2016,2015,2016,Pre-gAI,33660,"Mobile, AL",15-1132+15-1133,11-3021,340,460,280,280,75892.0,76410.0,98240.0,100510.0,0.3022808718729337,-0.0160414599802279,620.0
2015-2016,2015,2016,Pre-gAI,33860,"Montgomery, AL",15-1132+15-1133,11-3021,380,430,300,300,86318.0,88758.0,105130.0,101310.0,0.1236139559671766,0.0648879705803302,680.0
2015-2016,2015,2016,Pre-gAI,33874,"Montgomery County-Bucks County-Chester County, PA Metropolitan Division",15-1132+15-1133,11-3021,11280,13280,3340,3520,100297.0,104508.0,157980.0,163280.0,0.1107377153569784,0.0081297634819101,14620.0
2015-2016,2015,2016,Pre-gAI,34060,"Morgantown, WV",15-1132+15-1133,11-3021,190,240,90,110,93039.0,87853.0,114780.0,121960.0,0.0329441557193538,-0.1180296663592847,280.0
2015-2016,2015,2016,Pre-gAI,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",15-1132+15-1133,11-3021,150,130,70,80,72937.0,69425.0,104590.0,111890.0,-0.276632236265196,-0.1168173226996345,220.0
2015-2016,2015,2016,Pre-gAI,34940,"Naples-Immokalee-Marco Island, FL",15-1132+15-1133,11-3021,290,350,60,80,82486.0,84969.0,131190.0,144510.0,-0.0996298409488411,-0.0670441531014796,350.0
2015-2016,2015,2016,Pre-gAI,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",15-1132+15-1133,11-3021,4360,5090,3250,3040,86066.0,88926.0,103650.0,107870.0,0.2216032541250042,-0.0072168400837636,7610.0
2015-2016,2015,2016,Pre-gAI,35004,"Nassau County-Suffolk County, NY Metropolitan Division",15-1132+15-1133,11-3021,6180,5890,2660,2560,101355.0,101993.0,156580.0,161270.0,-0.0097434095039674,-0.0232379397065844,8840.0
2015-2016,2015,2016,Pre-gAI,35084,"Newark, NJ-PA Metropolitan Division",15-1132+15-1133,11-3021,13120,15130,5460,5340,105639.0,109353.0,166940.0,177500.0,0.1647648810690318,-0.0267825821769877,18580.0
2015-2016,2015,2016,Pre-gAI,35380,"New Orleans-Metairie, LA",15-1132+15-1133,11-3021,1000,1130,570,610,83198.0,75589.0,99970.0,105740.0,0.0543950363854882,-0.1520256489514629,1570.0
2015-2016,2015,2016,Pre-gAI,35614,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",15-1132+15-1133,11-3021,69690,73940,23690,24120,112296.0,114542.0,176780.0,185340.0,0.0412087643697677,-0.0274826287955575,93380.0
2015-2016,2015,2016,Pre-gAI,35660,"Niles-Benton Harbor, MI",15-1132+15-1133,11-3021,110,100,80,70,79817.0,83125.0,126940.0,135890.0,0.0382212128201978,-0.0275222164270622,190.0
2015-2016,2015,2016,Pre-gAI,35840,"North Port-Sarasota-Bradenton, FL",15-1132+15-1133,11-3021,1080,980,260,250,82923.0,83109.0,135770.0,138170.0,-0.0579430353003665,-0.0152820005734525,1340.0
2015-2016,2015,2016,Pre-gAI,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",15-1132+15-1133,11-3021,17060,15510,3450,3750,123041.0,130253.0,158120.0,164960.0,-0.1786331738141365,0.014612297995085,20510.0
2015-2016,2015,2016,Pre-gAI,36260,"Ogden-Clearfield, UT",15-1132+15-1133,11-3021,950,1070,320,380,79331.0,93727.0,119500.0,119160.0,-0.0528983140652938,0.1696065721384008,1270.0
2015-2016,2015,2016,Pre-gAI,36420,"Oklahoma City, OK",15-1132+15-1133,11-3021,3640,4070,1570,1680,79726.0,83201.0,99300.0,103220.0,0.0439411437509034,0.0039465493818258,5210.0
2015-2016,2015,2016,Pre-gAI,36540,"Omaha-Council Bluffs, NE-IA",15-1132+15-1133,11-3021,4310,4500,1090,1310,85209.0,90180.0,125070.0,122920.0,-0.1407099483113901,0.0740404542322398,5400.0
2015-2016,2015,2016,Pre-gAI,36740,"Orlando-Kissimmee-Sanford, FL",15-1132+15-1133,11-3021,7210,8410,1510,2060,96163.0,97638.0,141490.0,141100.0,-0.1566438092866579,0.0179822779520472,8720.0
2015-2016,2015,2016,Pre-gAI,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-1132+15-1133,11-3021,1720,1660,680,600,110907.0,109751.0,140770.0,136830.0,0.0896564544970962,0.0179102246870321,2400.0
2015-2016,2015,2016,Pre-gAI,37340,"Palm Bay-Melbourne-Titusville, FL",15-1132+15-1133,11-3021,3390,4040,580,560,95561.0,103748.0,134750.0,135610.0,0.2105060903919699,0.0758381854734135,3970.0
2015-2016,2015,2016,Pre-gAI,37860,"Pensacola-Ferry Pass-Brent, FL",15-1132+15-1133,11-3021,580,490,90,110,84410.0,82855.0,115820.0,119580.0,-0.3692934078979441,-0.050542127568986,670.0
2015-2016,2015,2016,Pre-gAI,37964,"Philadelphia, PA Metropolitan Division",15-1132+15-1133,11-3021,5420,4960,2240,2010,100628.0,102314.0,152240.0,157750.0,0.0196510690812453,-0.0189373114032707,7660.0
2015-2016,2015,2016,Pre-gAI,38060,"Phoenix-Mesa-Scottsdale, AZ",15-1132+15-1133,11-3021,19280,20450,5800,5570,94262.0,95298.0,141530.0,141870.0,0.0993774569195921,0.0085312483245239,25080.0
2015-2016,2015,2016,Pre-gAI,38300,"Pittsburgh, PA",15-1132+15-1133,11-3021,7750,9480,2660,2870,86659.0,86875.0,126890.0,131290.0,0.1255055659237526,-0.0315986205482435,10410.0
